"2021 Con1East Gauge ",,,
"Hourly Stream Data (Summary)",,,
,,,
"Dataset Reference Format:",,,
,"[Year of data collection] Stream data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,
," URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].",,
,,,
"Dataset Header Description",,,
,"Column(s)| Variable| Description| [units]",,
,"1st Column  | DateTime| Time stamp of variable collection time* [MM/DD/YY  hr:mm]",,
,"2nd Column|Discharge -L/s|Stream Discharge instantaneous measurements [L/s]",,
,"3rd Column |StreamTemp-C| Stream Temperature [C]",,
,"4th Column |StreamEC-mS/cm| Stream Electrical Conductivity [mS/cm]",,
,,,
,,,
,"**Note: -6999 denotes missing data",,
,,,
,,,
"DateTime","Discharge-L/s","StreamTemp-C","StreamEC-mS/cm"
"1/5/2021 21:00",19.6,0.8,0.065
"1/5/2021 22:00",20.62,0.8,0.066
"1/5/2021 23:00",19.69,0.8,0.066
"1/6/2021 0:00",21.47,0.7,0.066
"1/6/2021 1:00",19.35,0.7,0.066
"1/6/2021 2:00",20.64,0.7,0.066
"1/6/2021 3:00",19.57,0.7,0.066
"1/6/2021 4:00",19.66,0.7,0.066
"1/6/2021 5:00",20.06,0.7,0.066
"1/6/2021 6:00",20.19,0.7,0.066
"1/6/2021 7:00",17.68,0.7,0.066
"1/6/2021 8:00",20.16,0.7,0.065
"1/6/2021 9:00",20.07,0.7,0.065
"1/6/2021 10:00",19.89,0.7,0.066
"1/6/2021 11:00",20.15,0.8,0.066
"1/6/2021 12:00",20.21,0.9,0.066
"1/6/2021 13:00",21.61,1,0.066
"1/6/2021 14:00",20.72,1.1,0.067
"1/6/2021 15:00",20.58,1.2,0.067
"1/6/2021 16:00",19.53,1.2,0.067
"1/6/2021 17:00",19.5,1.2,0.067
"1/6/2021 18:00",21.12,1.2,0.067
"1/6/2021 19:00",20.76,1.2,0.067
"1/6/2021 20:00",19.87,1.2,0.067
"1/6/2021 21:00",18.73,1.2,0.067
"1/6/2021 22:00",21.3,1.2,0.067
"1/6/2021 23:00",20.49,1.1,0.067
"1/7/2021 0:00",20.5,1.2,0.067
"1/7/2021 1:00",20.22,1.2,0.067
"1/7/2021 2:00",21.13,1.1,0.066
"1/7/2021 3:00",19.85,0.8,0.065
"1/7/2021 4:00",19.62,0.8,0.065
"1/7/2021 5:00",21.98,0.8,0.065
"1/7/2021 6:00",21.8,0.5,0.064
"1/7/2021 7:00",19.99,0.3,0.064
"1/7/2021 8:00",19.79,0.4,0.064
"1/7/2021 9:00",20.46,0.4,0.064
"1/7/2021 10:00",21.57,0.5,0.064
"1/7/2021 11:00",20.21,0.5,0.064
"1/7/2021 12:00",20.31,0.6,0.064
"1/7/2021 13:00",20.89,0.7,0.064
"1/7/2021 14:00",21.3,0.8,0.064
"1/7/2021 15:00",22.55,0.9,0.064
"1/7/2021 16:00",18.85,0.9,0.064
"1/7/2021 17:00",20.28,0.9,0.065
"1/7/2021 18:00",20.53,1,0.065
"1/7/2021 19:00",18.48,1,0.065
"1/7/2021 20:00",19.44,1,0.065
"1/7/2021 21:00",18.55,1,0.065
"1/7/2021 22:00",20.23,0.9,0.065
"1/7/2021 23:00",19.43,0.9,0.066
"1/8/2021 0:00",18.02,0.8,0.066
"1/8/2021 1:00",19.23,0.8,0.066
"1/8/2021 2:00",17.86,0.7,0.066
"1/8/2021 3:00",18.54,0.6,0.066
"1/8/2021 4:00",18.12,0.6,0.066
"1/8/2021 5:00",20.14,0.6,0.066
"1/8/2021 6:00",18.23,0.5,0.066
"1/8/2021 7:00",17.46,0.5,0.066
"1/8/2021 8:00",19.28,0.5,0.066
"1/8/2021 9:00",17.39,0.6,0.066
"1/8/2021 10:00",19.41,0.6,0.066
"1/8/2021 11:00",19.88,0.7,0.067
"1/8/2021 12:00",19.03,0.8,0.067
"1/8/2021 13:00",17.77,0.9,0.067
"1/8/2021 14:00",20.62,1,0.067
"1/8/2021 15:00",17.89,1,0.068
"1/8/2021 16:00",19.1,1,0.067
"1/8/2021 17:00",18.21,1,0.067
"1/8/2021 18:00",17.95,1.1,0.067
"1/8/2021 19:00",19.78,1,0.067
"1/8/2021 20:00",18.59,1,0.067
"1/8/2021 21:00",18.97,1,0.067
"1/8/2021 22:00",18.31,1.1,0.067
"1/8/2021 23:00",17.32,1.1,0.067
"1/9/2021 0:00",19.07,1.1,0.067
"1/9/2021 1:00",18.44,1,0.067
"1/9/2021 2:00",17.47,1.1,0.067
"1/9/2021 3:00",17.93,1.1,0.067
"1/9/2021 4:00",17.01,1.1,0.067
"1/9/2021 5:00",18.67,1,0.067
"1/9/2021 6:00",18.4,0.9,0.067
"1/9/2021 7:00",18.97,0.8,0.067
"1/9/2021 8:00",16.39,0.8,0.067
"1/9/2021 9:00",17.43,0.7,0.067
"1/9/2021 10:00",17.96,0.6,0.067
"1/9/2021 11:00",17.05,0.5,0.067
"1/9/2021 12:00",17.58,0.5,0.067
"1/9/2021 13:00",18.12,0.5,0.067
"1/9/2021 14:00",17.37,0.5,0.067
"1/9/2021 15:00",17.55,0.5,0.067
"1/9/2021 16:00",17.14,0.6,0.067
"1/9/2021 17:00",17.96,0.7,0.067
"1/9/2021 18:00",18.06,0.6,0.067
"1/9/2021 19:00",17.87,0.5,0.067
"1/9/2021 20:00",18.17,0.5,0.067
"1/9/2021 21:00",17.6,0.4,0.067
"1/9/2021 22:00",16.88,0.4,0.066
"1/9/2021 23:00",16.98,0.4,0.066
"1/10/2021 0:00",16.43,0.4,0.066
"1/10/2021 1:00",16.93,0.5,0.066
"1/10/2021 2:00",19.2,0.4,0.066
"1/10/2021 3:00",16.42,0.4,0.066
"1/10/2021 4:00",17.58,0.3,0.066
"1/10/2021 5:00",17.04,0.3,0.066
"1/10/2021 6:00",17.4,0.3,0.066
"1/10/2021 7:00",17.11,0.4,0.066
"1/10/2021 8:00",16.22,0.4,0.066
"1/10/2021 9:00",18.74,0.4,0.066
