freqs,spectrum
0.01220703125,3.70157211752e-05
0.0244140625,2.32421558849e-06
0.03662109375,2.2566605533e-08
0.048828125,1.62238596601e-10
0.06103515625,1.12212261737e-10
0.0732421875,1.96388142847e-10
0.08544921875,1.72866149252e-10
0.09765625,1.31206914049e-10
0.10986328125,9.58900134725e-11
0.1220703125,6.98486436087e-11
0.13427734375,5.13461396931e-11
0.146484375,3.82605390043e-11
0.15869140625,2.89344963827e-11
0.1708984375,2.22043122587e-11
0.18310546875,1.72783354011e-11
0.1953125,1.36208302599e-11
0.20751953125,1.08671508538e-11
0.2197265625,8.76645871162e-12
0.23193359375,7.14400880226e-12
0.244140625,5.87643707972e-12
0.25634765625,4.87549015687e-12
0.2685546875,4.07787144472e-12
0.28076171875,3.43525154671e-12
0.29296875,2.91357535101e-12
0.30517578125,2.4867022094e-12
0.3173828125,2.13480902859e-12
0.32958984375,1.84271579716e-12
0.341796875,1.59869072542e-12
0.35400390625,1.39358859826e-12
0.3662109375,1.22022200516e-12
0.37841796875,1.0728990382e-12
0.390625,9.47079460126e-13
0.40283203125,8.3911690087e-13
0.4150390625,7.46064076935e-13
0.42724609375,6.65524118743e-13
0.439453125,5.95536642205e-13
0.45166015625,5.34489388399e-13
0.4638671875,4.81049643388e-13
0.47607421875,4.34110170286e-13
0.48828125,3.92746915943e-13
0.50048828125,3.56185133603e-13
0.5126953125,3.23772569512e-13
0.52490234375,2.94957843467e-13
0.537109375,2.69273016811e-13
0.54931640625,2.46319533947e-13
0.5615234375,2.25756718926e-13
0.57373046875,2.07292346765e-13
0.5859375,1.90675010466e-13
0.59814453125,1.75687656796e-13
0.6103515625,1.62142401021e-13
0.62255859375,1.49876112313e-13
0.634765625,1.38746751169e-13
0.64697265625,1.28630313605e-13
0.6591796875,1.19433262263e-13
0.67138671875,1.11050812358e-13
0.68359375,1.03372599906e-13
0.69580078125,9.63591042807e-14
0.7080078125,8.9930590924e-14
0.72021484375,8.40291464194e-14
0.732421875,7.85933677856e-14
0.74462890625,7.35897929644e-14
0.7568359375,6.89778777688e-14
0.76904296875,6.47214272412e-14
0.78125,6.0788080873e-14
0.79345703125,5.71488875435e-14
0.8056640625,5.37778442966e-14
0.81787109375,5.06639402954e-14
0.830078125,4.77938178878e-14
0.84228515625,4.5126036651e-14
0.8544921875,4.26284091179e-14
0.86669921875,4.02868367933e-14
0.87890625,3.81037695891e-14
0.89111328125,3.60699130969e-14
0.9033203125,3.41715813829e-14
0.91552734375,3.23966659819e-14
0.927734375,3.07339575121e-14
0.93994140625,2.91735511437e-14
0.9521484375,2.77118313879e-14
0.96435546875,2.63396233124e-14
0.9765625,2.50512839275e-14
0.98876953125,2.38407556169e-14
1.0009765625,2.27024498539e-14
1.01318359375,2.16312694771e-14
1.025390625,2.06225225727e-14
1.03759765625,1.96718864635e-14
1.0498046875,1.87753988762e-14
1.06201171875,1.79294005197e-14
1.07421875,1.71305137615e-14
1.08642578125,1.63756341552e-14
1.0986328125,1.56618741871e-14
1.11083984375,1.49865853338e-14
1.123046875,1.43473059588e-14
1.13525390625,1.37417490942e-14
1.1474609375,1.31678111541e-14
1.15966796875,1.26235283604e-14
1.171875,1.21072517733e-14
1.18408203125,1.16172668198e-14
1.1962890625,1.11518320452e-14
1.20849609375,1.0709217526e-14
1.220703125,1.02884686544e-14
1.23291015625,9.88881098562e-15
1.2451171875,9.50789420419e-15
1.25732421875,9.14513839908e-15
1.26953125,8.7993124233e-15
1.28173828125,8.47134598207e-15
1.2939453125,8.15718045816e-15
1.30615234375,7.85734277806e-15
1.318359375,7.57110939064e-15
1.33056640625,7.29780117155e-15
1.3427734375,7.03671912071e-15
1.35498046875,6.78721319095e-15
1.3671875,6.54867500405e-15
1.37939453125,6.32052868786e-15
1.3916015625,6.10223789659e-15
1.40380859375,5.89329457531e-15
1.416015625,5.69322236882e-15
1.42822265625,5.50157485025e-15
1.4404296875,5.31792798999e-15
1.45263671875,5.14188583693e-15
1.46484375,4.97307102146e-15
1.47705078125,4.8111345281e-15
1.4892578125,4.65573886135e-15
1.50146484375,4.50657130885e-15
1.513671875,4.36333536263e-15
1.52587890625,4.22574772033e-15
1.5380859375,4.09397363281e-15
1.55029296875,3.9676807231e-15
1.5625,3.84548581328e-15
1.57470703125,3.72796287688e-15
1.5869140625,3.61489880752e-15
1.59912109375,3.50609350164e-15
1.611328125,3.40135384567e-15
1.62353515625,3.3005002609e-15
1.6357421875,3.20336244948e-15
1.64794921875,3.10977281043e-15
1.66015625,3.01958211505e-15
1.67236328125,2.93263925741e-15
1.6845703125,2.84880689603e-15
1.69677734375,2.76795313601e-15
1.708984375,2.68995341604e-15
1.72119140625,2.61519018965e-15
1.7333984375,2.54302006674e-15
1.74560546875,2.47333291574e-15
1.7578125,2.40551075221e-15
1.77001953125,2.33994910061e-15
1.7822265625,2.27660868199e-15
1.79443359375,2.21539626067e-15
1.806640625,2.15622927281e-15
1.81884765625,2.09902467717e-15
1.8310546875,2.04370618018e-15
1.84326171875,1.99028628551e-15
1.85546875,1.93869602061e-15
1.86767578125,1.88887822746e-15
1.8798828125,1.84076985663e-15
1.89208984375,1.79410843782e-15
1.904296875,1.74876195326e-15
1.91650390625,1.70484300714e-15
1.9287109375,1.66229861189e-15
1.94091796875,1.62107405375e-15
1.953125,1.58101457676e-15
1.96533203125,1.54218255427e-15
1.9775390625,1.50465549663e-15
1.98974609375,1.46827481113e-15
2.001953125,1.43298453751e-15
2.01416015625,1.398752702e-15
2.0263671875,1.36553849968e-15
