freqs,spectrum,q1,q3
0.01220703125,3.97284369363,1.86526252607,22.2141998767
0.0244140625,1.06618440768,0.411444904066,2.39450907576
0.03662109375,0.0470562018554,0.0180818803008,0.129663128573
0.048828125,0.00810849978366,0.00319765037658,0.0177848373127
0.06103515625,0.0019402752266,0.000760224866637,0.00434201249252
0.0732421875,0.00103193489672,0.000473945618733,0.00330286360079
0.08544921875,0.000890595975743,0.000323150724611,0.00254439406001
0.09765625,0.000703618585801,0.00023687650532,0.00182842771346
0.10986328125,0.000659901125774,0.000231855992705,0.00150036064826
0.1220703125,0.000311108447244,0.000169469529732,0.00104406935329
0.13427734375,0.000245629535209,7.22186414538e-05,0.000811573884305
0.146484375,0.000473049983332,0.000201559806943,0.00113282772313
0.15869140625,0.000749130016463,0.000304520237182,0.00141395295936
0.1708984375,0.000763628975288,0.000267290563236,0.00163504764621
0.18310546875,0.000709387565088,0.000271726566329,0.0013618693463
0.1953125,0.000265249951887,8.59346421821e-05,0.000685221026422
0.20751953125,0.000363189813062,0.000165730668834,0.000912274646309
0.2197265625,0.000332131913733,0.000132313495698,0.000940608664403
0.23193359375,0.000196071932465,6.6690917246e-05,0.000336719676687
0.244140625,0.000226490750975,7.92871320493e-05,0.000476240520394
0.25634765625,0.000157260454483,7.7043808751e-05,0.000393095010991
0.2685546875,0.000218550109595,8.91334311868e-05,0.000514098398376
0.28076171875,0.00022617205031,8.75336211008e-05,0.000537883695174
0.29296875,0.000134308448324,6.04605896802e-05,0.000255200775453
0.30517578125,0.000113882310742,4.7486343741e-05,0.000248809280648
0.3173828125,9.30553938626e-05,3.42265907202e-05,0.000213994912974
0.32958984375,7.96294389273e-05,2.8100518209e-05,0.000272565949027
0.341796875,8.40590575076e-05,2.48858860979e-05,0.000280460889482
0.35400390625,7.25915929263e-05,2.60202948175e-05,0.000169770556626
0.3662109375,4.87774135248e-05,2.56079310832e-05,0.000100011316507
